sputnik_50;20190221;Swedish feminists demand state ban in 'dangerous' sex robots;2;https://sputniknews.com/europe/201902211072612639-sweden-sex-robots-feminism/
sputnik_51;20190220;Swedish-Hungarian war of words escalates as minister called 'sick creature';2;https://sputniknews.com/europe/201902201072584343-sweden-hungary/
sputnik_52;20190219;Calls for 'Swedish Guantanamo' after Trump's plea to take back jihadists;2;https://sputniknews.com/europe/201902191072549357-sweden-guantanamo-jihadists/
sputnik_53;20190218;Swedes seethe over documentary claiming their ancestors were darkskinned;2;https://sputniknews.com/viral/201902181072533012-sweden-documentary-dark-skin/
sputnik_54;20190218;Intl row as Swedish minister likens Hungary PM's 'more kids' call to nazi policy;3;https://sputniknews.com/europe/201902181072525505-sweden-hungary-diplomatic-spat-nazism/
sputnik_55;20190215;There is no need to create EU army - Swedish Defence Minister;3;https://sputniknews.com/europe/201902151072465800-sweden-eu-army/
sputnik_56;20190215;Swedish female swimming chairwoman unseated for calling muslim veil 'oppressive';2;https://sputniknews.com/europe/201902151072442661-sweden-islam-veil-oppression/
sputnik_57;20190213;Swedish FM stresses need to hold INF, global Disarmament talks;3;https://sputniknews.com/europe/201902131072369372-sweden-inf-foreign-miinstry-talks/
sputnik_58;20190212;Actor's comparison of his native Sweden to Africa goes viral;2;https://sputniknews.com/viral/201902121072335801-sweden-africa-comparison/
sputnik_59;20190210;Explosion rocks apartment building in Stockholm, one dead;3;https://sputniknews.com/europe/201902101072292901-explosion-stockholm/
sputnik_60;20190209;Sweden has developed jet able to 'kill' Russian Sukhoi planes, commander claims;1;https://sputniknews.com/military/201902091072277554-sweden-su-killer-jet/
sputnik_61;20190208;Sweden sees sharp increase in women with mutilated genitals amid immigration;2;https://sputniknews.com/europe/201902081072241393-sweden-fgm-immigration/
sputnik_62;20190206;Sweden concerned over harm US sanctions on Russia may do to national economy;3;https://sputniknews.com/business/201902061072180858-sweden-us-sanctions-harm/
sputnik_63;20190206;Russian military has 'the muscles' keeps training 'the brain';1;https://sputniknews.com/military/201902061072167540-russia-military-report/
sputnik_64;20190204;Middle-eastern, N african drivers 270 % more accident-prone;2;https://sputniknews.com/europe/201902041072102132-sweden-driving-migrants/
sputnik_65;20190204;Swedish woman who sabotaged Afghan man's deportation becomes film character;2;https://sputniknews.com/viral/201902041072097294-sweden-deportation-activist-flight/
sputnik_66;20190203;About 10,000 houses in Sweden left without electricity amid snowfall;3;https://sputniknews.com/europe/201902031072082780-sweden-snowfall-electricity/
sputnik_67;20190202;Swedish Imam threatens journo over muslim school probe;2;https://sputniknews.com/europe/201902021072058958-sweden-reporter-imam-threats/
sputnik_68;20190201;Outrage as pregnant black faredodger dragged off train in Sweden;2;https://sputniknews.com/viral/201902011072033712-sweden-pregnant-woman/
sputnik_69;20190201;People like it hot': Sweden going through erotic audiobook boom;3;https://sputniknews.com/europe/201902011072023107-sweden-erotic-literature/
rt_1;20190426;Macron says Schengen zone needs to be smaller. Which country did he have in mind?;2;https://www.rt.com/news/457625-macron-eu-schengen-shrink/
rt_2;20190410;Putin calls out ‘bandit’ translator for making him sound less friendly;1;https://www.rt.com/russia/456135-putincalls-out-bandit-translator/
rt_3;20190405;Love & justice: Russian family reunited by Polish court decision after fleeing Sweden;2;https://www.rt.com/russia/455659-poland-court-russia-children/
rt_4;20190404;Nordic countries have ‘disturbingly high levels of rape’ despite equality initiatives,says Amnesty;2;https://www.rt.com/news/455573-nordic-countries-rape-amnesty/
rt_5;20190325;‘Hasn’t it gone too far now?’ TV ad in migrant’s native language enrages Swedish social media;2;https://www.rt.com/news/454719-tvcommercial-sweden-language/
rt_6;20190322;Swedes say they can house a refugee, but promptly reject opportunity when offered to do so;2;https://www.rt.com/news/454474-sweden-citizens-refugees-home/
rt_7;20190320;Western-born Muslims ‘more likely’ to be drawn to extremism and violent ideas – study;2;https://www.rt.com/news/454324-muslims-west-extremism-immigration/
rt_8;20190318;Sweden’s first hijab-wearing MP grilled for proposing RACE–based nationwide register;2;https://www.rt.com/news/454122-sweden-mp-race-database/
rt_9;20190317;Swedish right-wing MP proposes… building mosque & Muslim center to draw immigrants;2;https://www.rt.com/news/454055-sweden-rightwing-support-mosque/
rt_10;20190315;Islamism still biggest threat to Swedish national security, domestic spy agency says;2;https://www.rt.com/news/453944-islamism-biggest-threat-sweden/
rt_11;20190312;Swedes who fought in Waffen-SS during WWII still receive 'Hitler pensions' – media;3;https://www.rt.com/news/453631-swedes-receiving-hitler-ordered-pension/
rt_12;20190311;Racist forest? Sweden sparks PC debate over plans to take ‘N-word’ out of woodland name;2;https://www.rt.com/news/453538-racistswedish-forest-name-change/
rt_13;20190310;Bus EXPLODES in central Stockholm after ‘accident’;2;https://www.rt.com/news/453459-stockholm-bus-explosion-fire/
rt_14;20190308;Swedish govt ‘art project’ will pay 1 person $2,320/month to do nothing for the rest of their life;2;https://www.rt.com/news/453361-swedish-art-project-free-money/
rt_15;20190305;Food of the future? Sweden to test 3Dprinted meals on the elderly;3;https://www.rt.com/news/453051-3dprinted-food-trial-sweden/
rt_16;20190301;UPS stops delivering to Swedish neighborhood as drivers get attacked in ‘nogo zone’ – report;2;https://www.rt.com/news/452740-upsnogo-areas-sweden/
rt_17;20190227;Ikea Israel sued after leaving women & girls out of catalog for ultra-Orthodox Jews;2;https://www.rt.com/news/452581-ikeaisrael-catalog-women/
rt_18;20190225;Rage and puzzlement over Muslim woman in hijab chosen for Swedish municipality’s welcome sign;2;https://www.rt.com/news/452345-swedish-municipality-welcome-headscarf/
rt_19;20190222;Sweden has become for jihadists ‘what Argentina was for Nazis’: MP slams govt over ISIS inaction;2;https://www.rt.com/news/452191-sweden-nazis-isis-bali/
rt_20;20190221;Swedish feminists up in arms over ‘dangerous’ sex robot brothels;2;https://www.rt.com/news/452062-feminists-sex-robots-sweden/
rt_21;20190218;Documentary about dark-skinned ‘first Swedes’ sparks horror on Twitter;2;https://www.rt.com/news/451766-swedes-outraged-ancestors-documentary/
rt_22;20190215;‘Symbol of oppression’: Swedish swimming chief steps down after criticizing Muslim headscarf;2;https://www.rt.com/sport/451562-swedish-swimming-chief-muslim-veilcriticism/
rt_23;20190205;Reality check: Is Russia planning to invade Sweden or is UK media spreading more baseless hysteria?;2;https://www.rt.com/op-ed/450701-russia-sweden-invasion-hysteria/
rt_24;20190204;Russia about to invade Sweden? UK newspaper seems to think so;2;https://www.rt.com/uk/450646-uknewspaper-sweden-russian-invasion/
rt_25;20190204;Migrants' children in Swedish schools are increasingly segregated;2;https://www.rt.com/news/450641-sweden-segregation-school-migrants/
rt_26;20190201;Outrage as pregnant woman manhandled off train over unpaid ticket;2;https://www.rt.com/news/450355-pregnant-woman-manhandled-stockholmmetro/
